gene_name,gene_biotype,chromosome,strand,transcript_count
HSP90B1,protein_coding,chr12,+,11
MC4R,protein_coding,chr18,-,1
BLCAP,protein_coding,chr20,-,14
SERPINB12,protein_coding,chr18,+,2
CHRFAM7A,protein_coding,chr15,-,7
ATF7IP2,protein_coding,chr16,+,18
MMP10,protein_coding,chr11,-,2
TVP23A,protein_coding,chr16,-,11
BEX3,protein_coding,chrX,+,4
TMPRSS5,protein_coding,chr11,-,12
COG1,protein_coding,chr17,+,10
PLEKHA7,protein_coding,chr11,-,19
ZNF606,protein_coding,chr19,-,9
ZCCHC18,protein_coding,chrX,+,6
B2M,protein_coding,chr15,+,14
ZNF592,protein_coding,chr15,+,4
CASC4,protein_coding,chr15,+,11
HTR3A,protein_coding,chr11,+,7
NNMT,protein_coding,chr11,+,8
ACSM1,protein_coding,chr16,-,6
AP1G1,protein_coding,chr16,-,22
AGBL1,protein_coding,chr15,+,1
SLFN5,protein_coding,chr17,+,3
CATSPER2,protein_coding,chr15,-,12
C16orf45,protein_coding,chr16,+,11
KIAA0430,protein_coding,chr16,-,16
SAAL1,protein_coding,chr11,-,15
YPEL4,protein_coding,chr11,-,10
PPIB,protein_coding,chr15,-,3
LDHC,protein_coding,chr11,+,10
FAM96A,protein_coding,chr15,-,6
LDHAL6A,protein_coding,chr11,+,3
FAM111A,protein_coding,chr11,+,11
KIAA0101,protein_coding,chr15,-,9
KIF7,protein_coding,chr15,-,3
LDHD,protein_coding,chr16,-,4
PLIN1,protein_coding,chr15,-,4
PEX11A,protein_coding,chr15,-,5
TMEM170A,protein_coding,chr16,-,7
MESP1,protein_coding,chr15,-,2
ANPEP,protein_coding,chr15,-,9
SCNN1G,protein_coding,chr16,+,1
RBPMS2,protein_coding,chr15,-,2
NAV2,protein_coding,chr11,+,16
ANKDD1A,protein_coding,chr15,+,10
GLYATL1,protein_coding,chr11,+,19
C18orf54,protein_coding,chr18,+,6
DCTN5,protein_coding,chr16,+,8
TERF2IP,protein_coding,chr16,+,3
PLK1,protein_coding,chr16,+,9
CLPX,protein_coding,chr15,-,6
GPR182,protein_coding,chr12,+,3
ZBTB39,protein_coding,chr12,-,1
CACNG2,protein_coding,chr22,-,2
TAC3,protein_coding,chr12,-,11
MYO1A,protein_coding,chr12,-,9
CHP2,protein_coding,chr16,+,1
NEMP1,protein_coding,chr12,-,4
OR4D6,protein_coding,chr11,+,1
NAB2,protein_coding,chr12,+,5
VPS39,protein_coding,chr15,-,14
STAT6,protein_coding,chr12,-,24
PATL1,protein_coding,chr11,-,2
ATP23,protein_coding,chr12,+,4
ELFN2,protein_coding,chr22,-,7
STX3,protein_coding,chr11,+,7
MRPL16,protein_coding,chr11,-,4
PIP4K2C,protein_coding,chr12,+,8
MTMR10,protein_coding,chr15,-,10
YWHAB,protein_coding,chr20,+,8
C15orf48,protein_coding,chr15,+,5
SCG5,protein_coding,chr15,+,9
GREM1,protein_coding,chr15,+,3
NYAP1,protein_coding,chr7,+,4
TSC22D4,protein_coding,chr7,-,6
MS4A6E,protein_coding,chr11,+,3
MS4A7,protein_coding,chr11,+,12
MS4A14,protein_coding,chr11,+,11
MS4A5,protein_coding,chr11,+,6
DIS3L,protein_coding,chr15,+,14
CCNDBP1,protein_coding,chr15,+,15
EPB42,protein_coding,chr15,-,10
TGM6,protein_coding,chr20,+,3
SMAD3,protein_coding,chr15,+,15
MS4A8,protein_coding,chr11,+,9
CCDC178,protein_coding,chr18,-,13
MS4A15,protein_coding,chr11,+,4
MAP1A,protein_coding,chr15,+,2
RCCD1,protein_coding,chr15,+,9
AKTIP,protein_coding,chr16,-,14
MAPRE2,protein_coding,chr18,+,13
EVA1C,protein_coding,chr21,+,13
TCP10L2,protein_coding,chr6,+,7
MARS,protein_coding,chr12,+,36
MBD6,protein_coding,chr12,+,14
CNPY4,protein_coding,chr7,+,5
PDIA3,protein_coding,chr15,+,6
NUDT21,protein_coding,chr16,-,7
NAT16,protein_coding,chr7,-,4
TERB2,protein_coding,chr15,+,3
NKX3-1,protein_coding,chr8,-,2
SGSM1,protein_coding,chr22,+,6
DUSP18,protein_coding,chr22,-,10
TEF,protein_coding,chr22,+,3
MEI1,protein_coding,chr22,+,15
B4GALNT2,protein_coding,chr17,+,3
PBX3,protein_coding,chr9,+,12
GNGT2,protein_coding,chr17,-,6
PHB,protein_coding,chr17,-,15
SNRPD1,protein_coding,chr18,+,4
TTC16,protein_coding,chr9,+,3
SUN5,protein_coding,chr20,-,4
SAMD14,protein_coding,chr17,-,10
PIP5KL1,protein_coding,chr9,-,12
BPIFB6,protein_coding,chr20,+,2
TMEM92,protein_coding,chr17,+,3
FAM102A,protein_coding,chr9,-,7
ACSF2,protein_coding,chr17,+,25
GOLGA2,protein_coding,chr9,-,14
TRUB2,protein_coding,chr9,-,3
COQ4,protein_coding,chr9,+,5
SLC27A4,protein_coding,chr9,+,2
URM1,protein_coding,chr9,+,6
CERCAM,protein_coding,chr9,+,14
DOLPP1,protein_coding,chr9,+,5
CCDC103,protein_coding,chr17,+,5
ENDOG,protein_coding,chr9,+,1
TBC1D21,protein_coding,chr15,+,3
PRRX2,protein_coding,chr9,+,1
UGT1A6,protein_coding,chr2,+,8
C15orf39,protein_coding,chr15,+,7
ISLR2,protein_coding,chr15,+,12
SP2,protein_coding,chr17,+,5
PRR15L,protein_coding,chr17,-,1
COQ7,protein_coding,chr16,+,11
GPRC5B,protein_coding,chr16,-,11
CRK,protein_coding,chr17,-,4
C16orf92,protein_coding,chr16,+,4
GOLGA6C,protein_coding,chr15,+,1
FBXO22,protein_coding,chr15,+,9
TBC1D2B,protein_coding,chr15,-,12
NOD2,protein_coding,chr16,+,10
SNX20,protein_coding,chr16,-,5
LOXHD1,protein_coding,chr18,-,12
KATNAL2,protein_coding,chr18,+,8
HDHD2,protein_coding,chr18,-,13
ZNF91,protein_coding,chr19,-,12
IGF2,protein_coding,chr11,-,7
RNF214,protein_coding,chr11,+,8
CDK12,protein_coding,chr17,+,10
DPEP2,protein_coding,chr16,-,9
DUS2,protein_coding,chr16,+,16
POP5,protein_coding,chr12,-,9
ENGASE,protein_coding,chr17,+,10
RBFOX3,protein_coding,chr17,-,12
ATP5L,protein_coding,chr11,+,8
CD3D,protein_coding,chr11,-,5
TBC1D16,protein_coding,chr17,-,9
TEPSIN,protein_coding,chr17,-,13
MYO5B,protein_coding,chr18,-,7
ART5,protein_coding,chr11,-,5
ACAA2,protein_coding,chr18,-,7
STIM1,protein_coding,chr11,+,21
RRM1,protein_coding,chr11,+,14
OR51E2,protein_coding,chr11,-,2
TRIM68,protein_coding,chr11,-,7
MMP26,protein_coding,chr11,+,3
OR51I1,protein_coding,chr11,-,1
OR51Q1,protein_coding,chr11,+,1
FN3K,protein_coding,chr17,+,5
PRRT2,protein_coding,chr16,+,20
ZNF23,protein_coding,chr16,-,11
IRGQ,protein_coding,chr19,-,5
ZNF226,protein_coding,chr19,+,19
ZNF180,protein_coding,chr19,-,11
PPP2R3B,protein_coding,chrX,-,10
ZNF668,protein_coding,chr16,-,10
ZNF646,protein_coding,chr16,+,4
VKORC1,protein_coding,chr16,-,8
GNG8,protein_coding,chr19,-,1
LPO,protein_coding,chr17,+,11
CA4,protein_coding,chr17,+,6
SMG8,protein_coding,chr17,+,6
TPM4,protein_coding,chr19,+,16
RAB8A,protein_coding,chr19,+,7
GPX4,protein_coding,chr19,+,13
MIDN,protein_coding,chr19,+,6
JSRP1,protein_coding,chr19,-,3
FAM129C,protein_coding,chr19,+,12
KLHL26,protein_coding,chr19,+,6
GATAD2A,protein_coding,chr19,+,13
MVD,protein_coding,chr16,-,17
CDT1,protein_coding,chr16,+,3
TRAPPC2L,protein_coding,chr16,+,15
ANKRD11,protein_coding,chr16,-,18
SPATA33,protein_coding,chr16,+,10
SGK494,protein_coding,chr17,-,12
PROCA1,protein_coding,chr17,-,10
RPL13,protein_coding,chr16,+,15
ZNF641,protein_coding,chr12,-,10
LALBA,protein_coding,chr12,-,2
CACNB3,protein_coding,chr12,+,24
DHRS13,protein_coding,chr17,-,5
TP53I13,protein_coding,chr17,+,12
KMT2D,protein_coding,chr12,-,7
CORO6,protein_coding,chr17,-,12
RHEBL1,protein_coding,chr12,-,4
TUBA1A,protein_coding,chr12,-,9
TUBA1C,protein_coding,chr12,+,9
ZNF610,protein_coding,chr19,+,9
ZNF528,protein_coding,chr19,+,12
ZNF701,protein_coding,chr19,+,6
SERTAD3,protein_coding,chr19,-,5
NCKAP5L,protein_coding,chr12,-,5
RAB4B,protein_coding,chr19,+,8
AQP2,protein_coding,chr12,+,3
GPD1,protein_coding,chr12,+,7
PROSER3,protein_coding,chr19,+,16
CYP2S1,protein_coding,chr19,+,6
AXL,protein_coding,chr19,+,5
NFKBID,protein_coding,chr19,-,10
TMC4,protein_coding,chr19,-,10
ANKRD33,protein_coding,chr12,+,8
LAIR1,protein_coding,chr19,-,23
TTYH1,protein_coding,chr19,+,17
LENG8,protein_coding,chr19,+,9
CDC42EP5,protein_coding,chr19,-,2
LAIR2,protein_coding,chr19,+,4
TMEM145,protein_coding,chr19,+,5
ZNF526,protein_coding,chr19,+,2
TRAPPC9,protein_coding,chr8,-,16
KIR3DL1,protein_coding,chr19,+,4
NLRP7,protein_coding,chr19,-,9
ZNF146,protein_coding,chr19,+,5
ZNF283,protein_coding,chr19,+,9
PPP1R14A,protein_coding,chr19,-,5
SPINT2,protein_coding,chr19,+,11
C19orf33,protein_coding,chr19,+,4
YIF1B,protein_coding,chr19,-,16
DNAAF3,protein_coding,chr19,-,17
PSCA,protein_coding,chr8,+,4
ATCAY,protein_coding,chr19,+,6
LY6D,protein_coding,chr8,-,4
DAPK3,protein_coding,chr19,-,8
EEF2,protein_coding,chr19,-,7
TMIGD2,protein_coding,chr19,-,4
CHAF1A,protein_coding,chr19,+,7
UBXN6,protein_coding,chr19,-,10
CTB-50L17.10,protein_coding,chr19,+,10
PLIN4,protein_coding,chr19,-,2
SEMA6B,protein_coding,chr19,-,3
ZNF444,protein_coding,chr19,+,12
NXN,protein_coding,chr17,-,12
FAM57A,protein_coding,chr17,+,7
GLOD4,protein_coding,chr17,-,19
MFSD3,protein_coding,chr8,+,4
GPT,protein_coding,chr8,+,7
KIFC2,protein_coding,chr8,+,6
SLC43A2,protein_coding,chr17,-,12
RILP,protein_coding,chr17,-,4
SERPINF2,protein_coding,chr17,+,5
WDR81,protein_coding,chr17,+,14
SRR,protein_coding,chr17,+,8
TSR1,protein_coding,chr17,-,5
TRPV3,protein_coding,chr17,-,11
HSD11B1L,protein_coding,chr19,+,23
CYB5D2,protein_coding,chr17,+,5
GGT6,protein_coding,chr17,-,6
C19orf48,protein_coding,chr19,-,14
KLK1,protein_coding,chr19,-,4
KLK4,protein_coding,chr19,-,8
KLK2,protein_coding,chr19,+,23
KLK5,protein_coding,chr19,-,5
KLK6,protein_coding,chr19,-,8
KLK11,protein_coding,chr19,-,11
KLK13,protein_coding,chr19,-,9
ZNF83,protein_coding,chr19,-,19
KRT80,protein_coding,chr12,-,3
KRT1,protein_coding,chr12,-,2
ACER1,protein_coding,chr19,-,1
OTUB1,protein_coding,chr11,+,12
RCOR2,protein_coding,chr11,-,3
ANGPTL4,protein_coding,chr19,+,11
CTD-2550O8.5,protein_coding,chr19,-,1
CD320,protein_coding,chr19,-,6
SPRYD3,protein_coding,chr12,-,6
IGFBP6,protein_coding,chr12,+,4
SOAT2,protein_coding,chr12,+,3
ZNF558,protein_coding,chr19,-,7
CABP2,protein_coding,chr11,-,4
NDUFV1,protein_coding,chr11,+,28
CDK2AP2,protein_coding,chr11,-,5
NUDT8,protein_coding,chr11,-,3
TBX10,protein_coding,chr11,-,1
CTD-2369P2.10,protein_coding,chr19,-,2
PRDX2,protein_coding,chr19,-,6
OR8J3,protein_coding,chr11,-,1
OR5I1,protein_coding,chr11,-,1
ZNF232,protein_coding,chr17,-,8
MIS12,protein_coding,chr17,+,6
CD300C,protein_coding,chr17,-,1
CD300A,protein_coding,chr17,+,6
TEKT1,protein_coding,chr17,-,5
HID1,protein_coding,chr17,-,14
MRPL58,protein_coding,chr17,+,4
ATP5H,protein_coding,chr17,-,5
TMEM88,protein_coding,chr17,+,2
EVPL,protein_coding,chr17,-,5
SRP68,protein_coding,chr17,-,13
MGAT5B,protein_coding,chr17,+,9
TMC8,protein_coding,chr17,+,9
TK1,protein_coding,chr17,-,6
TMEM68,protein_coding,chr8,-,19
CYP7A1,protein_coding,chr8,-,1
GSDMA,protein_coding,chr17,+,3
KRT24,protein_coding,chr17,-,1
TMEM99,protein_coding,chr17,+,4
GHDC,protein_coding,chr17,-,12
FAM234A,protein_coding,chr16,+,16
SOST,protein_coding,chr17,-,1
PRR25,protein_coding,chr16,+,1
ZNF598,protein_coding,chr16,-,9
RAB26,protein_coding,chr16,+,8
MLST8,protein_coding,chr16,+,35
E4F1,protein_coding,chr16,+,9
DNASE1L2,protein_coding,chr16,+,6
ECI1,protein_coding,chr16,-,7
CASKIN1,protein_coding,chr16,-,3
ABCA3,protein_coding,chr16,-,6
KCTD5,protein_coding,chr16,+,5
SRRM2,protein_coding,chr16,+,31
ZNF597,protein_coding,chr16,-,1
NLRC3,protein_coding,chr16,-,5
SDHAF2,protein_coding,chr11,+,8
DDB1,protein_coding,chr11,-,25
VPS37C,protein_coding,chr11,-,4
VWCE,protein_coding,chr11,-,8
RAB3IL1,protein_coding,chr11,-,6
BEST1,protein_coding,chr11,+,8
FTH1,protein_coding,chr11,-,12
BSCL2,protein_coding,chr11,-,27
POLR2G,protein_coding,chr11,+,8
SLC3A2,protein_coding,chr11,+,23
HRASLS5,protein_coding,chr11,-,6
C11orf84,protein_coding,chr11,+,3
ATG16L2,protein_coding,chr11,+,21
C2CD3,protein_coding,chr11,-,20
TRANK1,protein_coding,chr3,-,3
TTC21A,protein_coding,chr3,+,19
RPSA,protein_coding,chr3,+,9
ENTPD3,protein_coding,chr3,+,4
CTNNB1,protein_coding,chr3,+,15
ULK4,protein_coding,chr3,-,12
FADD,protein_coding,chr11,+,1
LTBP3,protein_coding,chr11,-,21
NAALADL1,protein_coding,chr11,-,22
SAC3D1,protein_coding,chr11,+,6
BATF2,protein_coding,chr11,-,5
SLC22A11,protein_coding,chr11,+,8
SF1,protein_coding,chr11,-,21
MAP4K2,protein_coding,chr11,-,13
MAJIN,protein_coding,chr11,-,6
CCDC88B,protein_coding,chr11,+,10
SCARA3,protein_coding,chr8,+,2
PBK,protein_coding,chr8,-,4
SCARA5,protein_coding,chr8,-,4
PNOC,protein_coding,chr8,+,4
COPS6,protein_coding,chr7,+,10
PAFAH1B2,protein_coding,chr11,+,8
ANKS3,protein_coding,chr16,-,30
NUDT16L1,protein_coding,chr16,+,5
KIAA1586,protein_coding,chr6,+,3
RAB4A,protein_coding,chr1,+,5
OR1F1,protein_coding,chr16,+,1
OR2B2,protein_coding,chr6,-,1
KCNJ4,protein_coding,chr22,-,1
SETD5,protein_coding,chr3,+,29
VASN,protein_coding,chr16,+,1
FAM83B,protein_coding,chr6,+,1
HIST3H3,protein_coding,chr1,-,1
THAP9,protein_coding,chr4,+,6
OR2C1,protein_coding,chr16,+,1
RNF187,protein_coding,chr1,+,2
HOOK3,protein_coding,chr8,+,6
MAPK1IP1L,protein_coding,chr14,+,5
DDIT4,protein_coding,chr10,+,3
RBPJ,protein_coding,chr4,+,31
LMBRD1,protein_coding,chr6,-,3
ZCCHC4,protein_coding,chr4,+,6
PTGDR,protein_coding,chr14,+,2
TTC39C,protein_coding,chr18,+,10
GLYCTK,protein_coding,chr3,+,9
GNG4,protein_coding,chr1,-,5
UBTD2,protein_coding,chr5,-,1
POLR2J3,protein_coding,chr7,-,21
NKIRAS2,protein_coding,chr17,+,14
DNAJC7,protein_coding,chr17,-,23
KCNV2,protein_coding,chr9,+,1
IRF2BP2,protein_coding,chr1,-,3
PTF1A,protein_coding,chr10,+,1
NT5DC2,protein_coding,chr3,-,15
FOXI1,protein_coding,chr5,+,2
SMIM4,protein_coding,chr3,+,5
COA6,protein_coding,chr1,+,4
KIF5C,protein_coding,chr2,+,5
MGAT2,protein_coding,chr14,+,1
BMI1,protein_coding,chr10,+,10
THAP11,protein_coding,chr16,+,1
MMADHC,protein_coding,chr2,-,4
PDHB,protein_coding,chr3,-,10
PXK,protein_coding,chr3,+,14
HIST1H1E,protein_coding,chr6,+,1
PCMTD1,protein_coding,chr8,-,8
KCTD6,protein_coding,chr3,+,6
MPLKIP,protein_coding,chr7,-,1
ACOX2,protein_coding,chr3,-,13
FAM107A,protein_coding,chr3,-,7
IRF2,protein_coding,chr4,-,9
MOBP,protein_coding,chr3,+,13
CX3CR1,protein_coding,chr3,-,6
C8orf22,protein_coding,chr8,+,4
XIRP1,protein_coding,chr3,-,3
INSM2,protein_coding,chr14,+,1
DEGS2,protein_coding,chr14,-,3
SCN11A,protein_coding,chr3,-,3
ARF4,protein_coding,chr3,-,9
HLA-DPA1,protein_coding,chrCHR_HSCHR6_MHC_MCF_CTG1,-,8
SEPT2,protein_coding,chr2,+,45
FILIP1L,protein_coding,chr3,-,10
MFSD2A,protein_coding,chr1,+,10
DTYMK,protein_coding,chr2,-,7
TAP1,protein_coding,chr6,-,3
ING5,protein_coding,chr2,+,13
ATG4B,protein_coding,chr2,+,26
BDKRB2,protein_coding,chr14,+,3
MLKL,protein_coding,chr16,-,8
RFWD3,protein_coding,chr16,-,12
MTNR1A,protein_coding,chr4,-,1
KCNG4,protein_coding,chr16,-,2
RHOH,protein_coding,chr4,+,24
KLHL30,protein_coding,chr2,+,1
COG7,protein_coding,chr16,-,6
CDC40,protein_coding,chr6,+,7
STIP1,protein_coding,chr11,+,12
SCNN1B,protein_coding,chr16,+,9
PPT2,protein_coding,chrCHR_HSCHR6_MHC_MANN_CTG1,+,34
HR,protein_coding,chr8,-,9
TXNDC2,protein_coding,chr18,+,6
RAB31,protein_coding,chr18,+,12
ATF6B,protein_coding,chrCHR_HSCHR6_MHC_DBB_CTG1,-,8
REEP4,protein_coding,chr8,-,7
TNXB,protein_coding,chr6,-,9
LGI3,protein_coding,chr8,-,5
SFTPC,protein_coding,chr8,+,12
BMP1,protein_coding,chr8,+,18
ATXN2L,protein_coding,chr16,+,26
PHYHIP,protein_coding,chr8,-,5
CCDC110,protein_coding,chr4,-,9
POLR3D,protein_coding,chr8,+,5
FEN1,protein_coding,chr11,+,3
SDPR,protein_coding,chr2,-,1
MTCL1,protein_coding,chr18,+,16
GBX2,protein_coding,chr2,-,3
HFE2,protein_coding,chr1,-,7
SCGB1D1,protein_coding,chr11,+,1
HEXIM2,protein_coding,chr17,+,8
FNTA,protein_coding,chr8,+,14
SERINC2,protein_coding,chr1,+,6
MYL1,protein_coding,chr2,-,4
TRAPPC11,protein_coding,chr4,+,10
CHRM1,protein_coding,chr11,-,3
COL3A1,protein_coding,chr2,+,7
GFRA2,protein_coding,chr8,-,8
ING2,protein_coding,chr4,+,2
CDKN2AIP,protein_coding,chr4,+,5
SNRNP48,protein_coding,chr6,+,3
TMEM223,protein_coding,chr11,-,4
SLC20A2,protein_coding,chr8,-,14
CRYGA,protein_coding,chr2,-,1
DYNLRB2,protein_coding,chr16,+,6
TMUB2,protein_coding,chr17,+,15
ADAM29,protein_coding,chr4,+,14
STAT3,protein_coding,chr17,-,14
ZSWIM1,protein_coding,chr20,+,2
ADAM9,protein_coding,chr8,+,9
ADAM18,protein_coding,chr8,+,8
GDNF,protein_coding,chr5,-,8
DPCR1,protein_coding,chr6,+,3
WFDC13,protein_coding,chr20,+,1
AXIN2,protein_coding,chr17,-,9
NDUFS5,protein_coding,chr1,+,2
VWA3B,protein_coding,chr2,+,21
ZNF30,protein_coding,chr19,+,6
UGT3A2,protein_coding,chr5,-,5
FAM84B,protein_coding,chr8,-,2
LDLRAD4,protein_coding,chr18,+,19
KCTD19,protein_coding,chr16,-,11
SLC16A4,protein_coding,chr1,-,10
IL7R,protein_coding,chr5,+,10
TMEM208,protein_coding,chr16,+,12
LRP1B,protein_coding,chr2,-,5
WFDC12,protein_coding,chr20,-,1
AHCYL1,protein_coding,chr1,+,6
DNAJC21,protein_coding,chr5,+,6
PKIG,protein_coding,chr20,+,8
NPNT,protein_coding,chr4,+,16
CA7,protein_coding,chr16,+,3
FAM178B,protein_coding,chr2,-,6
TSPY2,protein_coding,chrY,+,5
SEMA4C,protein_coding,chr2,-,6
CNNM3,protein_coding,chr2,+,5
GSTM4,protein_coding,chr1,+,12
TET2,protein_coding,chr4,+,9
CXXC4,protein_coding,chr4,-,3
TCTN2,protein_coding,chr12,+,4
SHOX2,protein_coding,chr3,-,6
PPIP5K1,protein_coding,chr15,-,23
TSPAN5,protein_coding,chr4,-,10
ABHD15,protein_coding,chr17,-,1
ZBTB5,protein_coding,chr9,-,1
CHTF8,protein_coding,chr16,-,11
ADAL,protein_coding,chr15,+,8
LCMT2,protein_coding,chr15,-,2
SNTB2,protein_coding,chr16,+,6
IL12A,protein_coding,chr3,+,6
ZNF507,protein_coding,chr19,+,5
STX18,protein_coding,chr4,-,10
NSG1,protein_coding,chr4,+,11
ZBTB49,protein_coding,chr4,+,6
GFM1,protein_coding,chr3,+,11
OR13J1,protein_coding,chr9,-,1
HTR1E,protein_coding,chr6,+,1
FSTL5,protein_coding,chr4,-,5
DDX19A,protein_coding,chr16,+,15
ATOH8,protein_coding,chr2,+,5
SOX14,protein_coding,chr3,+,1
ANKRD49,protein_coding,chr11,+,11
SFTPB,protein_coding,chr2,-,7
USP39,protein_coding,chr2,+,20
TNIP2,protein_coding,chr4,-,7
C2orf68,protein_coding,chr2,-,5
TMEM150A,protein_coding,chr2,-,12
RNF181,protein_coding,chr2,+,6
VAMP5,protein_coding,chr2,+,2
BTNL3,protein_coding,chr5,+,1
LRRC28,protein_coding,chr15,+,22
MAT2A,protein_coding,chr2,+,6
PLA2G4F,protein_coding,chr15,-,7
ENHO,protein_coding,chr9,-,1
ZNF608,protein_coding,chr5,-,10
SLC35G2,protein_coding,chr3,+,3
INPP5D,protein_coding,chr2,+,14
LETM1,protein_coding,chr4,-,7
CTRB1,protein_coding,chr16,+,2
CTRB2,protein_coding,chr16,-,6
TRIM49,protein_coding,chr11,-,2
TMEM129,protein_coding,chr4,-,6
PPIC,protein_coding,chr5,-,2
SPRY3,protein_coding,chrX,+,1
CEP120,protein_coding,chr5,-,9
STXBP6,protein_coding,chr14,-,7
TM4SF20,protein_coding,chr2,-,2
MFF,protein_coding,chr2,+,27
GRM5,protein_coding,chr11,-,5
LGALS9,protein_coding,chr17,+,16
JMJD7-PLA2G4B,protein_coding,chr15,+,6
CPLX1,protein_coding,chr4,-,4
PXDC1,protein_coding,chr6,-,4
SIGLEC7,protein_coding,chr19,+,6
NTSR2,protein_coding,chr2,-,1
E2F6,protein_coding,chr2,-,12
FEM1B,protein_coding,chr15,+,4
COMMD8,protein_coding,chr4,-,2
ATP5I,protein_coding,chr4,-,5
UQCRFS1,protein_coding,chr19,-,1
MFSD7,protein_coding,chr4,-,9
COL4A3,protein_coding,chr2,+,6
MAP2K1,protein_coding,chr15,+,3
KLK7,protein_coding,chr19,-,6
HNRNPH1,protein_coding,chr5,-,50
IRS1,protein_coding,chr2,-,2
MECP2,protein_coding,chrX,-,25
VCX3A,protein_coding,chrX,-,3
UPF3A,protein_coding,chr13,+,12
ZBBX,protein_coding,chr3,-,13
ACTBL2,protein_coding,chr5,-,1
ROR2,protein_coding,chr9,-,8
AR,protein_coding,chrX,+,9
DHRSX,protein_coding,chrX,-,7
C8orf46,protein_coding,chr8,+,15
HSPBAP1,protein_coding,chr3,-,6
ASMTL,protein_coding,chrX,-,6
SLC25A6,protein_coding,chrX,-,3
CHST14,protein_coding,chr15,+,2
PARM1,protein_coding,chr4,+,2
CSNK1G1,protein_coding,chr15,-,18
FAM110B,protein_coding,chr8,+,7
ARMC4,protein_coding,chr10,-,6
AFAP1L2,protein_coding,chr10,-,6
ZNF354A,protein_coding,chr5,-,3
ATF5,protein_coding,chr19,+,6
UBE2V2,protein_coding,chr8,+,8
GOT1L1,protein_coding,chr8,-,3
ZBTB43,protein_coding,chr9,+,5
CPT1C,protein_coding,chr19,+,24
PCSK9,protein_coding,chr1,+,2
XPO6,protein_coding,chr16,-,23
GSG1L,protein_coding,chr16,-,5
MN1,protein_coding,chr22,-,3
APEX2,protein_coding,chrX,+,2
NSMCE1,protein_coding,chr16,-,14
CCDC126,protein_coding,chr7,+,8
IL13,protein_coding,chr5,+,6
RP11-231C14.4,protein_coding,chr16,-,9
OR10G3,protein_coding,chr14,-,1
RAB3B,protein_coding,chr1,-,1
OR6F1,protein_coding,chr1,-,1
CD2BP2,protein_coding,chr16,-,3
RSPO1,protein_coding,chr1,-,4
RGS14,protein_coding,chr5,+,13
TBC1D10B,protein_coding,chr16,-,7
LMAN2,protein_coding,chr5,-,8
GCSAML,protein_coding,chr1,+,11
RAB24,protein_coding,chr5,-,9
PRELID1,protein_coding,chr5,+,8
THBS3,protein_coding,chr1,-,11
CA5B,protein_coding,chrX,+,10
SLC50A1,protein_coding,chr1,+,14
EFNA1,protein_coding,chr1,+,5
CXCL10,protein_coding,chr4,-,1
NPIPB3,protein_coding,chr16,-,14
SH3TC2,protein_coding,chr5,-,15
CXCL11,protein_coding,chr4,-,2
ZRSR2,protein_coding,chrX,+,3
NMD3,protein_coding,chr3,+,10
ADRB2,protein_coding,chr5,+,1
B3GALNT1,protein_coding,chr3,-,18
GPRIN1,protein_coding,chr5,-,1
ZNF311,protein_coding,chrCHR_HSCHR6_MHC_QBL_CTG1,-,2
HSPB3,protein_coding,chr5,+,1
KCNAB1,protein_coding,chr3,+,15
MRPL1,protein_coding,chr4,+,6
SHE,protein_coding,chr1,-,3
NR0B1,protein_coding,chrX,-,2
PGM2,protein_coding,chr4,+,6
STK32A,protein_coding,chr5,+,9
IL1RAPL1,protein_coding,chrX,+,2
P2RY12,protein_coding,chr3,-,2
C22orf15,protein_coding,chr22,+,5
OR5AU1,protein_coding,chr14,-,1
KIAA1024,protein_coding,chr15,+,2
PDILT,protein_coding,chr16,-,2
UMOD,protein_coding,chr16,-,13
GP2,protein_coding,chr16,-,11
SLC33A1,protein_coding,chr3,-,6
SNUPN,protein_coding,chr15,-,11
CRADD,protein_coding,chr12,+,12
SIN3A,protein_coding,chr15,-,15
ARL13B,protein_coding,chr3,+,10
RNASE2,protein_coding,chr14,+,1
ELSPBP1,protein_coding,chr19,+,6
RNASE3,protein_coding,chr14,+,1
PTK2,protein_coding,chr8,-,57
RSPH10B2,protein_coding,chr7,+,11
PTAFR,protein_coding,chr1,-,3
PTPN9,protein_coding,chr15,-,6
RNASE6,protein_coding,chr14,+,1
NPR1,protein_coding,chr1,+,3
KCNK9,protein_coding,chr8,-,6
CXCL8,protein_coding,chr4,+,3
SCN9A,protein_coding,chr2,-,6
RASSF6,protein_coding,chr4,-,5
COL22A1,protein_coding,chr8,-,7
SDC2,protein_coding,chr8,+,8
CD52,protein_coding,chr1,+,3
MMGT1,protein_coding,chrX,-,1
SPRR1B,protein_coding,chr1,+,1
SPRR1A,protein_coding,chr1,+,1
OR4K14,protein_coding,chr14,-,1
OR4K15,protein_coding,chr14,+,1
TM2D2,protein_coding,chr8,-,10
HTRA4,protein_coding,chr8,+,1
PLEKHA2,protein_coding,chr8,+,9
CLIC4,protein_coding,chr1,+,4
SLC38A11,protein_coding,chr2,-,10
GPR183,protein_coding,chr13,-,1
CRCT1,protein_coding,chr1,+,1
CCDC8,protein_coding,chr19,-,1
METTL15,protein_coding,chr11,+,12
ZNF280A,protein_coding,chr22,-,1
MUC15,protein_coding,chr11,-,5
CT55,protein_coding,chrX,-,2
ZEB2,protein_coding,chr2,-,46
GJB1,protein_coding,chrX,+,4
